,country_ID,Year,Value
253,63,1994,13.8
254,64,1994,7.2
255,65,1994,3.3
256,66,1994,11.9
257,67,1994,14.2
258,68,1994,4.0
259,69,1994,16.4
260,70,1994,10.9
261,71,1994,10.4
262,72,1994,2.8
263,73,1994,3.0
264,74,1994,9.7
265,75,1994,8.2
266,76,1994,10.0
267,77,1994,18.0
268,78,1994,13.9
269,79,1994,1.2
270,80,1994,1.6
271,81,1994,13.6
272,82,1994,20.0
273,83,1994,13.0
274,84,1994,19.1
275,85,1994,13.2
276,86,1994,13.3
277,87,1994,1.7
278,88,1994,22.7
279,89,1994,12.0
280,90,1994,2.4
281,91,1994,29.7
282,92,1994,27.2
283,93,1994,8.1
284,94,1994,1.1
285,95,1994,18.1
286,96,1994,21.8
287,97,1994,7.7
288,98,1994,5.0
289,99,1994,20.9
290,100,1994,20.2
291,101,1994,13.5
292,102,1994,1.7
293,103,1994,1.9
294,104,1994,4.8
295,105,1994,2.1
296,106,1994,2.8
297,107,1994,20.9
298,108,1994,39.8
299,109,1994,5.0
300,110,1994,5.7
301,111,1994,17.9
302,112,1994,30.9
303,114,1994,9.9
304,115,1994,13.2
305,116,1994,13.9
306,117,1994,2.7
307,118,1994,1.5
308,119,1994,7.6
309,120,1994,52.5
310,121,1994,1.0
311,122,1994,10.5
312,123,1994,18.3
313,124,1994,13.0
314,125,1994,1.9
315,126,1994,2.9
316,127,1994,33.2
317,128,1994,13.4
318,129,1994,14.3
319,130,1994,2.9
320,131,1994,41.6
321,132,1994,11.8
322,133,1994,11.0
323,134,1994,9.7
324,135,1994,11.6
325,136,1994,2.5
326,137,1994,15.9
327,138,1994,11.2
328,139,1994,23.0
329,140,1994,2.2
330,141,1994,12.9
331,173,1994,15.3
332,142,1994,14.4
333,143,1994,18.0
334,144,1994,1.5
335,145,1994,12.0
336,146,1994,10.6
337,147,1994,11.9
338,148,1994,32.6
339,150,1994,4.4
340,151,1994,22.2
341,152,1994,3.6
342,153,1994,13.6
343,154,1994,7.2
344,155,1994,3.4
345,156,1994,4.0
346,157,1994,13.9
347,158,1994,13.5
348,159,1994,10.9
349,160,1994,3.1
350,161,1994,16.6
351,163,1994,16.3
352,164,1994,1.5
353,165,1994,2.9
354,166,1994,16.4
355,168,1994,12.5
356,169,1994,11.8
357,170,1994,15.4
358,171,1994,6.8
359,172,1994,2.7
360,174,1994,0.9
361,175,1994,3.0
362,177,1994,32.9
363,178,1994,8.1
364,179,1994,15.2
365,180,1994,18.8
366,181,1994,9.1
367,182,1994,34.5
368,183,1994,1.8
369,184,1994,17.7
370,185,1994,19.5
371,186,1994,15.7
372,187,1994,2.8
373,188,1994,21.2
374,189,1994,18.1
375,190,1994,8.2
376,191,1994,12.6
377,192,1994,17.0
378,193,1994,0.4
379,194,1994,6.7
380,195,1994,3.6
381,196,1994,8.5
382,1,1995,1.7
383,2,1995,11.3
384,3,1995,14.8
385,4,1995,21.0
386,5,1995,2.7
387,6,1995,11.0
388,7,1995,18.6
389,8,1995,12.8
390,9,1995,17.6
391,10,1995,12.3
392,11,1995,11.1
393,12,1995,21.4
394,13,1995,21.0
395,14,1995,1.0
396,15,1995,13.1
397,16,1995,17.2
398,17,1995,15.5
399,18,1995,14.2
400,19,1995,4.0
401,20,1995,1.7
402,21,1995,11.2
403,22,1995,11.3
404,23,1995,10.7
405,24,1995,12.2
406,25,1995,5.6
